Club,Name,Club_Position,Club_Joining,Contract_Expiry,Nationality,National_Position,Rating,Height,Weight,Preferred_Foot,Birth_Date,Age,Preferred_Position,Weak_foot
1. FC Köln,Frederik Sørensen,Sub,7/11/2015,2021.0,Denmark,,72,194 cm,88 kg,Right,4/14/1992,24,RB/CB,3
1. FC Köln,Hikmet Ciftci,Res,1/1/2017,2020.0,Germany,,59,176 cm,73 kg,Left,3/10/1998,19,CM/CDM,3
1. FC Köln,Jonas Hector,LB,2/25/2012,2021.0,Germany,LB,81,185 cm,75 kg,Left,5/27/1990,26,LB/CDM,3
1. FC Köln,Konstantin Rausch,Sub,7/1/2016,2019.0,Germany,,74,182 cm,80 kg,Left,3/15/1990,27,LM/LB,4
1. FC Köln,Leonardo Bittencourt,Sub,7/14/2015,2021.0,Germany,,77,171 cm,63 kg,Right,12/19/1993,23,LM/RM,4
1. FC Köln,Lukas Klünter,Res,7/1/2015,2017.0,Germany,,59,184 cm,73 kg,Right,5/26/1996,20,RB/CB,3
1. FC Köln,Marcel Hartel,Sub,2/20/2016,2019.0,Germany,,62,176 cm,69 kg,Right,1/19/1996,21,CAM,4
1. FC Köln,Marcel Risse,Sub,7/1/2013,2022.0,Germany,,77,183 cm,75 kg,Right,12/17/1989,27,RM/RB,3
1. FC Köln,Marco Höger,RDM,7/1/2016,2021.0,Germany,,79,182 cm,83 kg,Right,9/16/1989,27,CM/CDM,4
1. FC Köln,Matthias Hamrol,Res,7/21/2016,2017.0,Germany,,50,195 cm,90 kg,Left,12/31/1993,23,GK,3
1. FC Köln,Matthias Lehmann,LDM,7/1/2012,2018.0,Germany,,76,179 cm,75 kg,Right,5/28/1983,33,CDM,3
1. FC Köln,Miloš Jojić,Sub,7/4/2015,2019.0,Serbia,,74,177 cm,79 kg,Right,3/19/1992,25,CM/CDM,3
1. FC Köln,Neven Subotić,LCB,7/1/2008,2018.0,Serbia,,78,191 cm,83 kg,Right,12/10/1988,28,CB,3
1. FC Köln,Paweł Olkowski,RB,7/1/2014,2019.0,Poland,,73,184 cm,76 kg,Right,2/13/1990,27,RB/RM,2
1. FC Köln,Salih Özcan,Sub,7/1/2016,2020.0,Germany,,63,180 cm,70 kg,Right,11/1/1998,18,CM/CAM,3
1. FC Köln,Sehrou Guirassy,Sub,7/20/2016,2021.0,France,,69,187 cm,82 kg,Right,3/12/1996,21,ST,3
1. FC Köln,Simon Zoller,LM,7/1/2014,2020.0,Germany,,74,179 cm,70 kg,Right,6/26/1991,25,ST/RM,3
1. FC Köln,Sven Müller,Sub,7/1/2016,2018.0,Germany,,57,190 cm,90 kg,Right,2/16/1996,21,GK,2
1. FC Köln,Thomas Kessler,Sub,1/21/2007,2019.0,Germany,,71,197 cm,92 kg,Right,1/20/1986,31,GK,3
1. FC Köln,Timo Horn,GK,7/1/2011,2019.0,Germany,,83,192 cm,90 kg,Left,5/12/1993,23,GK,4
1. FC Köln,Yūya Ōsako,RS,7/1/2014,2020.0,Japan,,75,182 cm,71 kg,Right,5/18/1990,26,CF/CAM/RM,5
1. FC Nürnberg,Abdelhamid Sabiri,Sub,1/29/2017,2018.0,Morocco,,60,186 cm,80 kg,Right,11/28/1996,20,LM,4
1. FC Nürnberg,Cedric Teuchert,Sub,11/7/2014,2018.0,Germany,,64,182 cm,80 kg,Right,1/14/1997,20,ST/LM,3
1. FC Nürnberg,Constant Djakpa,Sub,1/31/2017,2017.0,Ivory Coast,,72,177 cm,71 kg,Left,10/17/1986,30,LB/LM,3
1. FC Nürnberg,Dave Bulthuis,LCB,7/1/2014,2017.0,Netherlands,,69,190 cm,88 kg,Left,6/28/1990,26,CB,3
1. FC Nürnberg,Dennis Lippert,LB,1/29/2017,2017.0,Germany,,60,172 cm,63 kg,Left,2/20/1996,21,LB,3
1. FC Nürnberg,Edgar Salli,LM,7/21/2016,2019.0,Cameroon,Sub,72,171 cm,71 kg,Right,8/17/1992,24,ST/LM,4
1. FC Nürnberg,Eduard Löwen,Sub,3/12/2017,2018.0,Germany,,57,188 cm,91 kg,Right,1/28/1997,20,CDM/CM,4
1. FC Nürnberg,Even Hovland,Sub,7/1/2014,2017.0,Norway,LCB,69,191 cm,90 kg,Right,2/14/1989,28,CB,3
1. FC Nürnberg,Georg Margreitter,RCB,8/24/2015,2019.0,Austria,,73,186 cm,85 kg,Right,11/7/1988,28,CB,2
1. FC Nürnberg,Hanno Behrens,RCM,7/1/2015,2018.0,Germany,,74,188 cm,82 kg,Right,3/26/1990,27,CDM,2
1. FC Nürnberg,Kevin Möhwald,LCM,7/1/2015,2018.0,Germany,,72,183 cm,77 kg,Right,7/3/1993,23,CAM,2
1. FC Nürnberg,Lucas Hufnagel,Res,7/1/2015,2019.0,Georgia,,66,183 cm,73 kg,Right,1/29/1994,23,RM,3
1. FC Nürnberg,Lukas Mühl,Sub,5/7/2016,2019.0,Germany,,63,189 cm,83 kg,Right,1/27/1997,20,CB/CDM,3
1. FC Nürnberg,László Sepsi,Res,7/1/2015,2018.0,Romania,,67,179 cm,75 kg,Left,6/7/1987,29,LB,3
1. FC Nürnberg,Mikael Ishak,ST,1/30/2017,2020.0,Sweden,,69,185 cm,81 kg,Right,3/31/1993,23,ST,5
1. FC Nürnberg,Mišo Brečko,RB,7/30/2015,2018.0,Slovenia,,68,178 cm,70 kg,Right,5/1/1984,32,RB,3
1. FC Nürnberg,Ondřej Petrák,CDM,1/7/2014,2017.0,Czech Republic,,69,186 cm,79 kg,Right,3/11/1992,25,CDM/CB,3
1. FC Nürnberg,Patrick Erras,Sub,9/13/2015,2018.0,Germany,,66,196 cm,85 kg,Right,1/21/1995,22,CDM,3
1. FC Nürnberg,Patrick Kammerbauer,Sub,7/1/2016,2017.0,Germany,,63,174 cm,73 kg,Right,2/11/1997,20,RB/CDM,4
1. FC Nürnberg,Patrick Rakovsky,Res,7/1/2011,2017.0,Germany,,65,187 cm,83 kg,Left,6/2/1993,23,GK,3
1. FC Nürnberg,Raphael Schäfer,Sub,7/1/2008,2017.0,Germany,,68,190 cm,94 kg,Left,1/30/1979,38,GK,2
1. FC Nürnberg,Rúrik Gíslason,Res,7/1/2015,2018.0,Iceland,,69,184 cm,80 kg,Right,2/25/1988,29,RM/LM,3
1. FC Nürnberg,Shawn Parker,Sub,7/1/2014,2019.0,Germany,,68,179 cm,78 kg,Right,3/7/1993,24,ST/RM,4
1. FC Nürnberg,Thorsten Kirschbaum,GK,7/1/2015,2018.0,Germany,,70,194 cm,90 kg,Left,4/20/1987,29,GK,1
1. FC Nürnberg,Tim Leibold,Sub,7/1/2015,2018.0,Germany,,70,174 cm,72 kg,Left,11/30/1993,23,LM/LB,2
1. FC Nürnberg,Tim Matavž,Sub,7/4/2014,2019.0,Slovenia,,71,188 cm,81 kg,Right,1/13/1989,28,ST,4
1. FC Nürnberg,Tobias Kempe,RM,7/1/2016,2019.0,Germany,,71,184 cm,77 kg,Right,6/27/1989,27,RM/LM,3
1. FC Nürnberg,Willi Evseev,Res,7/1/2014,2017.0,Kazakhstan,,62,179 cm,73 kg,Left,2/14/1992,25,CAM/CM,3
1. FSV Mainz 05,Aaron Seydel,Sub,11/27/2016,2021.0,Germany,,63,199 cm,90 kg,Left,2/7/1996,21,ST,4
1. FSV Mainz 05,Alexander Hack,Sub,9/13/2015,2019.0,Germany,,69,193 cm,88 kg,Left,9/8/1993,23,CB,3
1. FSV Mainz 05,André Ramalho,LCB,7/1/2015,2019.0,Brazil,,73,182 cm,78 kg,Right,2/16/1992,25,CB/CDM,5
1. FSV Mainz 05,Besar Halimi,Res,7/12/2015,2019.0,Kosovo,,68,169 cm,68 kg,Left,12/12/1994,22,CAM/RM,3
1. FSV Mainz 05,Bojan,Sub,7/22/2014,2020.0,Spain,,81,170 cm,65 kg,Right,8/28/1990,26,CAM/ST,4
1. FSV Mainz 05,Daniel Brosinski,LB,7/3/2014,2019.0,Germany,,75,178 cm,70 kg,Right,7/17/1988,28,LB/CDM,4
1. FSV Mainz 05,Danny Latza,LDM,7/1/2015,2019.0,Germany,,76,179 cm,76 kg,Right,12/7/1989,27,CM/CDM,4
1. FSV Mainz 05,Devante Parker,Res,6/23/2014,2019.0,Germany,,64,175 cm,68 kg,Right,3/16/1996,21,RM/RWB,3
1. FSV Mainz 05,Emil Berggreen,Res,1/31/2016,2019.0,Denmark,,70,194 cm,89 kg,Right,5/10/1993,23,ST,4
1. FSV Mainz 05,Fabian Frei,RDM,7/1/2015,2019.0,Switzerland,Sub,76,183 cm,77 kg,Right,1/8/1989,28,CM/CAM,3
1. FSV Mainz 05,Florian Müller,Res,7/1/2016,2019.0,Germany,,61,192 cm,85 kg,Left,11/13/1997,19,GK,3
1. FSV Mainz 05,Gaëtan Bussmann,Sub,8/30/2015,2017.0,France,,75,184 cm,79 kg,Left,2/2/1991,26,LB,2
1. FSV Mainz 05,Gerrit Holtmann,Sub,7/1/2016,2020.0,Germany,,69,183 cm,77 kg,Left,3/25/1995,22,LM/LW,3
1. FSV Mainz 05,Giulio Donati,RB,1/25/2016,2019.0,Italy,,75,178 cm,76 kg,Right,2/5/1990,27,RB,3
1. FSV Mainz 05,Jairo,Sub,8/29/2014,2018.0,Spain,,76,172 cm,69 kg,Right,7/11/1993,23,LM/RM,4
1. FSV Mainz 05,Jannik Huth,Sub,7/1/2015,2020.0,Germany,,64,185 cm,80 kg,Right,4/15/1994,22,GK,4
1. FSV Mainz 05,Jean-Philippe Gbamin,Sub,7/13/2016,2021.0,France,,74,186 cm,83 kg,Right,9/25/1995,21,CDM,3
1. FSV Mainz 05,Jhon Córdoba,RS,8/31/2015,2020.0,Colombia,,77,185 cm,85 kg,Right,5/11/1993,23,ST,3
1. FSV Mainz 05,Jonas Lössl,GK,7/1/2016,2019.0,Denmark,Sub,76,195 cm,88 kg,Right,2/1/1989,28,GK,2
1. FSV Mainz 05,Karim Onisiwo,Res,1/5/2016,2019.0,Austria,,72,188 cm,85 kg,Right,3/17/1992,25,RM/ST,3
1. FSV Mainz 05,Leon Balogun,Sub,7/1/2015,2018.0,Nigeria,,75,190 cm,88 kg,Right,6/28/1988,28,CB/RB,3
1. FSV Mainz 05,Levin Öztunali,RM,8/25/2016,2021.0,Germany,,76,184 cm,80 kg,Right,3/15/1996,21,RM/LM,4
1. FSV Mainz 05,Marin Šverko,Res,1/17/2017,2021.0,Croatia,,59,187 cm,81 kg,Left,2/4/1998,19,LB,3
1. FSV Mainz 05,Mounir Bouziane,Res,1/22/2017,2017.0,France,,64,182 cm,82 kg,Left,2/5/1991,26,ST,3
1. FSV Mainz 05,Niki Zimling,Res,1/25/2013,2017.0,Denmark,,71,178 cm,74 kg,Right,4/19/1985,31,CM/CDM,3
1. FSV Mainz 05,Niko Bungert,Sub,7/1/2008,2019.0,Germany,,75,188 cm,75 kg,Right,10/24/1986,30,CB,2
1. FSV Mainz 05,Pablo De Blasis,LM,8/31/2014,2018.0,Argentina,,77,165 cm,65 kg,Right,2/4/1988,29,LM/ST,3
1. FSV Mainz 05,Philipp Klement,Res,9/13/2015,2018.0,Germany,,65,174 cm,71 kg,Left,9/9/1992,24,CAM,3
1. FSV Mainz 05,Robin Quaison,Sub,1/31/2017,2021.0,Sweden,,74,184 cm,77 kg,Right,10/9/1993,23,CAM/LM,3
1. FSV Mainz 05,Stefan Bell,RCB,7/1/2010,2020.0,Germany,,77,192 cm,88 kg,Right,8/24/1991,25,CB,3
1. FSV Mainz 05,Suat Serdar,Sub,7/7/2015,2021.0,Germany,,68,183 cm,75 kg,Right,4/11/1997,19,CM/CDM,3
1. FSV Mainz 05,Yoshinori Mutō,LS,7/1/2015,2019.0,Japan,,75,179 cm,72 kg,Right,7/15/1992,24,ST/LM,4
1860 München,Abdoulaye Ba,CB,7/1/2010,2018.0,Senegal,,75,197 cm,79 kg,Right,1/1/1991,26,CB,2
1860 München,Amilton,RW,1/26/2017,2020.0,Brazil,,72,172 cm,68 kg,Right,8/12/1989,27,RW/RM,3
1860 München,Christian Gytkjær,Sub,1/27/2017,2019.0,Denmark,,72,185 cm,77 kg,Right,5/6/1990,26,ST,4
1860 München,Daniel Adlung,Sub,7/1/2013,2018.0,Germany,,69,180 cm,78 kg,Right,10/1/1987,29,CM/CDM,4
1860 München,Daylon Claasen,Res,7/1/2014,2017.0,South Africa,,66,170 cm,65 kg,Right,1/28/1990,27,RM/CAM,3
1860 München,Fanol Përdedaj,Sub,7/27/2016,2019.0,Kosovo,,69,173 cm,70 kg,Right,7/16/1991,25,CDM/RB,3
1860 München,Felix Uduokhai,LCB,1/13/2016,2019.0,Germany,,62,192 cm,78 kg,Left,9/9/1997,19,CB,3
1860 München,Filip Stojković,Sub,7/9/2016,2021.0,Montenegro,,67,180 cm,76 kg,Right,1/22/1993,24,RB/CDM,3
1860 München,Franck Boya,Res,1/31/2017,2018.0,Cameroon,Sub,59,193 cm,78 kg,Right,7/1/1996,20,CM/CDM/RM,4
1860 München,Ivica Olić,ST,7/27/2016,2017.0,Croatia,,71,182 cm,85 kg,Left,9/14/1979,37,ST/LM,4
1860 München,Jan Mauersberger,Sub,1/22/2016,2018.0,Germany,,69,194 cm,93 kg,Left,6/17/1985,31,CB,4
1860 München,Jan Zimmermann,Sub,7/1/2016,2018.0,Germany,,69,190 cm,86 kg,Left,4/19/1985,31,GK,3
1860 München,Kai Bülow,LCM,7/1/2010,2017.0,Germany,,66,188 cm,81 kg,Right,5/31/1986,30,CB/CDM,3
1860 München,Karim Matmour,Sub,7/1/2016,2018.0,Algeria,,70,181 cm,75 kg,Right,6/25/1985,31,RM/CAM,3
1860 München,Krisztián Simon,Res,2/2/2015,2018.0,Hungary,,65,176 cm,67 kg,Right,6/10/1991,25,RM/LM,3
1860 München,Levent Ayçiçek,Sub,7/1/2012,2018.0,Germany,,68,169 cm,67 kg,Right,2/14/1994,23,LM/RW,3
1860 München,Lumor Agbenyenu,LM,1/31/2016,2021.0,Ghana,,63,175 cm,70 kg,Left,8/10/1996,20,LB,3
1860 München,Marnon Busch,Res,8/23/2014,2018.0,Germany,,64,182 cm,80 kg,Right,12/8/1994,22,RB/RM,3
1860 München,Maximilian Wittek,RM,7/1/2014,2017.0,Germany,,67,172 cm,70 kg,Left,8/21/1995,21,LB/LM,2
1860 München,Michael Liendl,Sub,8/26/2015,2017.0,Austria,,72,175 cm,74 kg,Left,10/25/1985,31,CAM/CM/RM,3
1860 München,Nico Karger,Res,12/4/2015,2019.0,Germany,,60,183 cm,79 kg,Right,2/1/1993,24,LM/ST,4
1860 München,Ribamar,Sub,7/29/2016,2021.0,Brazil,,68,184 cm,81 kg,Left,5/21/1997,19,ST,2
1860 München,Romuald Lacazette,RCM,7/18/2015,2017.0,France,,65,175 cm,74 kg,Right,1/3/1994,23,CDM,3
1860 München,Sascha Mölders,Sub,1/1/2016,2018.0,Germany,,71,187 cm,82 kg,Left,3/20/1985,32,ST,3
1860 München,Sebastian Boenisch,RCB,10/6/2016,2018.0,Poland,,72,191 cm,90 kg,Right,2/1/1987,30,CB/RB,3
1860 München,Stefan Aigner,LW,7/30/2016,2020.0,Germany,,76,183 cm,73 kg,Right,8/20/1987,29,RM/ST,4
1860 München,Stefan Ortega,GK,7/1/2014,2017.0,Germany,,68,186 cm,89 kg,Right,11/6/1992,24,GK,4
1860 München,Victor Andrade,Sub,7/11/2014,2019.0,Brazil,,73,177 cm,70 kg,Right,9/30/1995,21,RW/RM,4
1899 Hoffenheim,Alexander Stolz,Sub,8/21/2013,2018.0,Germany,,66,189 cm,89 kg,Right,10/13/1983,33,GK,2
1899 Hoffenheim,Andrej Kramarić,LS,1/16/2015,2020.0,Croatia,,78,177 cm,73 kg,Right,6/19/1991,25,ST/LW,4
1899 Hoffenheim,Benjamin Hübner,LCB,7/1/2016,2020.0,Germany,,77,193 cm,82 kg,Left,7/4/1989,27,CB,2
1899 Hoffenheim,Danilo,Sub,1/4/2017,2017.0,Brazil,,72,170 cm,72 kg,Left,10/29/1991,25,LB,3
1899 Hoffenheim,Dennis Geiger,Res,7/1/2016,2019.0,Germany,,57,172 cm,65 kg,Right,6/10/1998,18,CM/LB,3
1899 Hoffenheim,Ermin Bičakčić,Sub,7/1/2014,2020.0,Bosnia Herzegovina,,76,185 cm,85 kg,Right,1/24/1990,27,CB,3
1899 Hoffenheim,Eugen Polański,Sub,1/25/2013,2018.0,Poland,,77,183 cm,78 kg,Right,3/17/1986,31,CDM/CM,4
1899 Hoffenheim,Fabian Schär,Sub,7/1/2015,2019.0,Switzerland,LCB,76,186 cm,84 kg,Right,12/20/1991,25,CB,4
1899 Hoffenheim,Gregor Kobel,Res,7/1/2016,2020.0,Switzerland,,54,193 cm,90 kg,Right,12/6/1997,19,GK,2
1899 Hoffenheim,Jeremy Toljan,Sub,4/27/2013,2018.0,Germany,,74,182 cm,76 kg,Right,8/8/1994,22,LB/LM,4
1899 Hoffenheim,Kerem Demirbay,LCM,7/13/2016,2021.0,Germany,,77,185 cm,80 kg,Left,7/3/1993,23,CAM/ST,3
1899 Hoffenheim,Kevin Vogt,CB,7/1/2016,2020.0,Germany,,78,194 cm,85 kg,Right,9/23/1991,25,CB/CDM,3
1899 Hoffenheim,Lukas Rupp,Sub,7/1/2016,2020.0,Germany,,76,178 cm,73 kg,Right,1/8/1991,26,RM/CM,3
1899 Hoffenheim,Marco Terrazzino,Sub,7/1/2016,2018.0,Germany,,71,176 cm,74 kg,Right,4/15/1991,25,LM/CAM,3
1899 Hoffenheim,Mark Uth,Sub,7/2/2015,2018.0,Germany,,77,185 cm,70 kg,Left,8/24/1991,25,ST/RM,2
1899 Hoffenheim,Nadiem Amiri,RCM,8/1/2014,2018.0,Germany,,77,180 cm,72 kg,Right,10/27/1996,20,CAM/LM,3
1899 Hoffenheim,Niklas Süle,RCB,5/11/2013,2019.0,Germany,Sub,81,195 cm,95 kg,Right,9/3/1995,21,CB,3
1899 Hoffenheim,Oliver Baumann,GK,7/1/2014,2021.0,Germany,,80,187 cm,82 kg,Right,6/2/1990,26,GK,3
1899 Hoffenheim,Pavel Kadeřábek,RWB,7/1/2015,2019.0,Czech Republic,,78,182 cm,81 kg,Right,4/25/1992,24,RWB/RB,2
1899 Hoffenheim,Philipp Ochs,Sub,7/1/2015,2019.0,Germany,,65,174 cm,73 kg,Left,4/17/1997,19,LM/LB,3
1899 Hoffenheim,Pirmin Schwegler,Sub,7/1/2014,2017.0,Switzerland,,76,178 cm,74 kg,Right,3/9/1987,30,CDM/CM,4
1899 Hoffenheim,Sandro Wagner,RS,7/1/2016,2019.0,Germany,,78,194 cm,87 kg,Right,11/29/1987,29,ST,4
1899 Hoffenheim,Sebastian Rudy,CM,8/24/2010,2017.0,Germany,Sub,79,179 cm,74 kg,Right,2/28/1990,27,CM/RB/RM,3
1899 Hoffenheim,Stefan Posch,Res,2/18/2017,2018.0,Austria,,54,188 cm,76 kg,Right,5/14/1997,19,CB,3
1899 Hoffenheim,Steven Zuber,LWB,8/14/2014,2020.0,Switzerland,,74,181 cm,79 kg,Right,8/17/1991,25,LM/LWB,4
1899 Hoffenheim,Ádám Szalai,Sub,7/4/2014,2018.0,Hungary,ST,74,193 cm,87 kg,Right,12/9/1987,29,ST,3
A. Minas G.,Alex das Freitas,LDM,1/1/2015,2020.0,Brazil,,71,172 cm,76 kg,Right,2/29/1988,29,CDM/CM,3
A. Minas G.,Botelhinonsa,Sub,12/29/2015,2020.0,Brazil,,66,183 cm,76 kg,Right,2/29/1988,29,RB,3
A. Minas G.,Carvamelinho,RB,1/1/2015,2020.0,Brazil,,69,178 cm,75 kg,Right,2/29/1984,33,RB,3
A. Minas G.,Clayton Fildeiras,LAM,8/22/2016,2020.0,Brazil,,72,172 cm,69 kg,Right,2/29/1984,33,CAM/CM,4
A. Minas G.,Dagoberto Esteiro,Sub,2/1/2013,2017.0,Brazil,,66,178 cm,77 kg,Right,2/29/1988,29,CDM/RM,3
A. Minas G.,Evandro Rochedo,ST,1/1/2015,2020.0,Brazil,,73,187 cm,82 kg,Right,2/29/1984,33,ST,4
A. Minas G.,Ever Corredeira,Sub,2/1/2016,2020.0,Brazil,,70,181 cm,79 kg,Right,2/29/1984,33,ST,3
A. Minas G.,Everton Andrão,RDM,1/1/2015,2020.0,Brazil,,76,177 cm,75 kg,Right,2/29/1984,33,CDM/CM,4
A. Minas G.,Fabiem Jardim,Sub,1/1/2015,2020.0,Brazil,,63,182 cm,78 kg,Right,2/29/1984,33,CAM,3
A. Minas G.,Fredinho Mutto,Sub,1/1/2015,2020.0,Brazil,,68,178 cm,78 kg,Left,2/29/1992,25,LB,2
A. Minas G.,Germán da Silvieira,Sub,1/1/2015,2017.0,Brazil,,66,180 cm,78 kg,Right,2/29/1988,29,ST/CAM,3
A. Minas G.,Jessé Ledeiro,CAM,6/16/2016,2020.0,Brazil,,72,174 cm,73 kg,Right,2/29/1988,29,CAM/CF,3
A. Minas G.,Kel Perinho,RCB,1/1/2015,2020.0,Brazil,,74,192 cm,79 kg,Right,2/29/1984,33,CB,3
A. Minas G.,Luciano Cacheira,Sub,1/1/2015,2020.0,Brazil,,69,181 cm,75 kg,Right,2/29/1984,33,GK,2
A. Minas G.,Marlion Simões,Sub,2/1/2016,2020.0,Brazil,,71,180 cm,75 kg,Left,2/29/1992,25,LB/CM,4
A. Minas G.,Marlon Barninho,Sub,1/14/2016,2020.0,Brazil,,64,183 cm,74 kg,Left,2/29/1988,29,LB/RB,3
A. Minas G.,Nuno Cedrim,RAM,1/1/2015,2020.0,Brazil,,67,181 cm,78 kg,Right,2/29/1992,25,CAM/RM,4
A. Minas G.,Simão Donatinho,GK,1/1/2015,2020.0,Brazil,,75,188 cm,82 kg,Left,2/29/1984,33,GK,2
A. Minas G.,Wellington Sabrão,LB,1/1/2015,2020.0,Brazil,,72,185 cm,81 kg,Left,2/29/1984,33,CB/LB,3
A. Minas G.,Édundo Oliveira,LCB,2/1/2011,2020.0,Brazil,,74,183 cm,79 kg,Right,2/29/1992,25,CB,2
AC Ajaccio,Alexandre Ramalingom,Sub,1/1/2016,2020.0,France,,55,177 cm,70 kg,Right,3/17/1993,24,ST,3
AC Ajaccio,Alioun Fall,Sub,8/31/2016,2017.0,France,,66,170 cm,69 kg,Right,12/20/1990,26,RB/LB,3
AC Ajaccio,Anthony Lippini,RB,6/4/2015,2017.0,France,,66,175 cm,68 kg,Right,11/7/1988,28,RB/CB,3
AC Ajaccio,Cheick Timite,Res,8/1/2015,2020.0,Ivory Coast,,54,180 cm,75 kg,Right,11/20/1997,19,ST/RW,3
AC Ajaccio,Francois-Joseph Sollacaro,Sub,5/9/2014,2017.0,France,,57,181 cm,75 kg,Right,3/21/1994,23,GK,2
AC Ajaccio,Guillaume Fanucchi,Sub,5/1/2015,2023.0,France,,55,177 cm,75 kg,Right,5/21/1995,21,RM,3
AC Ajaccio,Ilyes Chaïbi,Sub,6/1/2014,2019.0,France,,61,176 cm,70 kg,Right,10/12/1996,20,ST,3
AC Ajaccio,Johan Cavalli,CAM,11/29/2010,2017.0,France,,71,170 cm,65 kg,Left,9/12/1981,35,CAM/CDM,4
AC Ajaccio,Jordan Pierre-Charles,LB,1/1/2016,2018.0,France,,62,182 cm,71 kg,Left,11/26/1993,23,LB/LM,3
AC Ajaccio,Joris Sainati,Sub,1/28/2015,2017.0,France,,65,183 cm,78 kg,Right,9/25/1988,28,CB/RB,2
