Nationality,Name,Club,Birth_Date,Age,National_Position,Club_Position,Preferred_Position,Rating,Height,Weight,Preferred_Foot,Weak_foot
Argentina,Alexander Barboza,Fl. Varela,3/16/1995,22,LCB,LCB,CB,72,193 cm,70 kg,Left,3
Argentina,Alexander Hollman,Patronato,6/10/1993,23,Res,Res,RB/CB,57,174 cm,65 kg,Right,3
Argentina,Alexander Szymanowski,CD Leganés,10/13/1988,28,LM,LM,LM/LW,77,174 cm,69 kg,Left,3
Argentina,Alexis Canelo,Puebla,2/3/1992,25,RS,RS,ST,66,180 cm,83 kg,Left,4
Argentina,Alexis Castro,Tigre,10/18/1994,33,RCM,RCM,CM/LM,69,182 cm,73 kg,Right,4
Argentina,Alexis Machuca,Uni. Concepción,5/10/1990,26,Res,Res,CB,68,178 cm,80 kg,Right,3
Argentina,Alexis Martín Arias,G. La Plata,7/4/1992,24,GK,GK,GK,70,185 cm,80 kg,Right,3
Argentina,Alexis Niz,Junín,5/15/1988,28,RCB,RCB,RB/CB,69,179 cm,70 kg,Right,3
Argentina,Alexis Sosa,Banfield,7/22/1999,17,Sub,Sub,CB,59,177 cm,76 kg,Right,3
Argentina,Alexis Soto,Banfield,10/20/1993,23,LB,LB,LB,70,172 cm,69 kg,Left,2
Argentina,Alexis Zárate,Temperley,5/8/1994,22,LCB,LCB,RB,65,179 cm,74 kg,Right,3
Argentina,Andrés Cubas,Pescara,5/11/1996,20,Res,Res,CDM,73,169 cm,60 kg,Right,3
Argentina,Andrés Imperiale,SJ Earthquakes,7/8/1986,30,Sub,Sub,CB/LB,66,185 cm,78 kg,Left,2
Argentina,Andrés Romero,Montreal Impact,12/21/1989,27,LM,LM,RM/LM,69,178 cm,72 kg,Right,4
Argentina,Andrés Ríos,Fl. Varela,8/1/1989,27,Sub,Sub,ST,67,179 cm,78 kg,Right,4
Argentina,Antonio Medina,Mar del Plata,12/18/1984,32,Sub,Sub,ST/LW,66,170 cm,65 kg,Right,4
Argentina,Ariel Cólzera,Temperley,4/15/1986,30,Sub,Sub,CAM,67,173 cm,74 kg,Right,3
Argentina,Ariel Rojas,River Plate,1/16/1986,31,Sub,Sub,CM/LW,71,175 cm,82 kg,Left,3
Argentina,Arián Pucheta,San Juan,3/8/1995,22,LCB,LCB,CB,57,180 cm,84 kg,Left,2
Argentina,Augusto Batalla,River Plate,4/30/1996,20,GK,GK,GK,68,185 cm,79 kg,Right,3
Argentina,Augusto Fernández,Atlético Madrid,4/10/1986,30,Sub,Sub,CM,81,177 cm,71 kg,Right,3
Argentina,Augusto Solari,Estudiantes,1/3/1992,25,RAM,RAM,RM,71,177 cm,74 kg,Right,2
Argentina,Axel Werner,Boca Juniors,2/28/1996,21,Sub,Sub,GK,69,191 cm,86 kg,Right,2
Argentina,Bautista Cascini,Estudiantes,6/1/1997,19,Res,Res,CM,60,171 cm,68 kg,Right,3
Argentina,Bautista Merlini,San Lorenzo,7/4/1995,21,Sub,Sub,CAM/LM,63,165 cm,62 kg,Right,3
Argentina,Bernardo Cuesta,Junior,12/20/1988,28,Sub,Sub,ST,67,173 cm,76 kg,Right,4
Argentina,Braian Mansilla,Racing Club,4/16/1997,19,Sub,Sub,LM/ST,66,180 cm,76 kg,Left,2
Argentina,Braian Rivero,Newell's,2/22/1996,21,Res,Res,CDM,57,178 cm,74 kg,Right,2
Argentina,Brian Cufré,Vélez Sarsfield,12/15/1996,20,Sub,Sub,LB,61,179 cm,82 kg,Left,2
Argentina,Brian Fernández,Racing Club,9/26/1994,22,Sub,Sub,ST,71,171 cm,74 kg,Right,4
Argentina,Brian Mieres,San Lorenzo,7/28/1995,21,Res,Res,RB,64,172 cm,71 kg,Right,3
Argentina,Brian Sarmiento,Banfield,4/22/1990,26,CAM,CAM,LM,69,166 cm,66 kg,Right,3
Argentina,Brian Álvarez,Racing Club,8/22/1997,19,Res,Res,LM,59,171 cm,68 kg,Left,3
Argentina,Bruno Bianchi,Atlético Tucumán,2/17/1989,28,RCB,RCB,CB,72,184 cm,79 kg,Right,3
Argentina,Bruno Pittón,Unión,2/1/1993,24,Sub,Sub,LB,66,174 cm,70 kg,Left,2
Argentina,Bruno Urribarri,Tigre,11/6/1986,30,Sub,Sub,LB,68,168 cm,64 kg,Left,2
Argentina,Bruno Zuculini,Hellas Verona,4/2/1993,23,Sub,Sub,CM/RM/CAM,71,178 cm,72 kg,Right,3
Argentina,Carlos Araujo,Parque Patricios,11/19/1981,35,Sub,Sub,RB,70,172 cm,69 kg,Right,3
Argentina,Carlos Auzqui,River Plate,3/16/1991,26,RAM,RAM,LM/ST,71,180 cm,74 kg,Right,3
Argentina,Carlos Izquierdoz,Santos Laguna,11/3/1988,28,RCB,RCB,CB,76,184 cm,89 kg,Right,2
Argentina,Carlos Luna,Tigre,1/17/1982,35,ST,ST,ST,71,179 cm,81 kg,Right,3
Argentina,Carlos Matheu,Banfield,5/13/1985,31,RCB,RCB,CB,67,182 cm,82 kg,Right,3
Argentina,Carlos Quintana,CA Talleres,2/11/1988,29,Sub,Sub,CB,62,190 cm,84 kg,Left,3
Argentina,Christian Bernardi,Santa Fe,3/10/1990,27,Sub,Sub,CAM,64,177 cm,73 kg,Right,3
Argentina,Christian Chimino,Temperley,2/9/1988,29,RB,RB,RB,67,178 cm,72 kg,Right,2
Argentina,Ciro Rius,Lanús,10/27/1988,28,Sub,Sub,RW,69,171 cm,73 kg,Right,3
Argentina,Claudio Aquino,Belgrano,7/24/1991,25,Sub,Sub,CAM/RM,72,173 cm,78 kg,Right,3
Argentina,Claudio Bieler,Belgrano,3/1/1984,33,ST,ST,ST,70,180 cm,70 kg,Right,3
Argentina,Claudio Corvalán,Sarandí,3/23/1989,28,LB,LB,LB,68,179 cm,78 kg,Left,3
Argentina,Claudio Pérez,Puebla,12/26/1985,31,LCB,LCB,CB,68,187 cm,84 kg,Right,2
Argentina,Claudio Riaño,Necaxa,8/4/1988,28,ST,ST,ST,72,177 cm,75 kg,Right,2
Argentina,Claudio Villagra,Banfield,1/2/1996,21,Sub,Sub,LM,59,167 cm,66 kg,Right,2
Argentina,Claudio Yacob,West Brom,7/18/1987,29,Sub,Sub,CDM/CM,79,181 cm,73 kg,Right,3
Argentina,Clemente Rodríguez,Santa Fe,7/31/1981,35,LB,LB,LB/RB,69,167 cm,65 kg,Right,4
Argentina,Cristian Ansaldi,Inter,9/20/1986,30,LB,LB,LB/RB,80,181 cm,76 kg,Left,5
Argentina,Cristian Campestrini,Puebla,6/16/1980,36,GK,GK,GK,74,182 cm,82 kg,Right,3
Argentina,Cristian Erbes,Veracruz,1/6/1990,27,Res,Res,CDM,72,172 cm,75 kg,Right,2
Argentina,Cristian Gorgerino,Belgrano,12/6/1996,20,Res,Res,LB,56,174 cm,73 kg,Left,2
Argentina,Cristian Guanca,Kasimpaşa,3/26/1993,24,Sub,Sub,ST,60,177 cm,78 kg,Left,3
Argentina,Cristian Insaurralde,CD O'Higgins,7/20/1991,25,LW,LW,LW/ST,69,182 cm,72 kg,Right,3
Argentina,Cristian Lema,Belgrano,9/12/1990,26,RCB,RCB,CB,66,190 cm,90 kg,Right,2
Argentina,Cristian Llama,Mar del Plata,6/26/1986,30,LW,LW,CAM/LM,65,179 cm,72 kg,Left,3
Argentina,Cristian Lucchetti,Atlético Tucumán,6/26/1978,38,GK,GK,GK,69,182 cm,69 kg,Right,3
Argentina,Cristian Menéndez,Atlético Tucumán,4/2/1988,28,RS,RS,ST,71,185 cm,81 kg,Right,3
Argentina,Cristian Muñoz,Uni. Concepción,7/1/1977,39,GK,GK,GK,68,177 cm,73 kg,Right,3
Argentina,Cristian Nasuti,Vélez Sarsfield,9/6/1982,34,RCB,RCB,CB,69,181 cm,84 kg,Right,3
Argentina,Cristian Omar Espinoza,Real Valladolid,4/3/1995,21,Sub,Sub,RM/ST,72,172 cm,69 kg,Right,3
Argentina,Cristian Pavón,Boca Juniors,1/21/1996,21,RW,RW,RM/ST,75,175 cm,65 kg,Right,3
Argentina,Cristian Pellerano,Veracruz,2/1/1982,35,RDM,RDM,CM/CDM,72,182 cm,74 kg,Right,3
Argentina,Cristian Ramírez,Lanús,3/29/1995,22,Res,Res,CAM,60,184 cm,73 kg,Right,3
Argentina,Cristian Romero,Belgrano,1/1/1998,19,Sub,Sub,CB,63,185 cm,79 kg,Right,2
Argentina,Cristian Trombetta,Quilmes,10/15/1986,30,Res,Res,LB/CB,63,193 cm,82 kg,Left,3
Argentina,Cristian Villagra,Rosario Central,12/27/1985,31,LB,LB,LB,72,177 cm,73 kg,Right,3
Argentina,Cristian Villanueva,Bahía Blanca,12/25/1983,33,RB,RB,LB,66,179 cm,71 kg,Right,3
Argentina,César Delgado,Rosario Central,8/18/1981,35,Res,Res,ST/RM,67,175 cm,72 kg,Right,4
Argentina,César Rigamonti,Quilmes,4/7/1987,29,GK,GK,GK,69,186 cm,87 kg,Right,2
Argentina,Damián Arce,Patronato,7/6/1991,25,LM,LM,LM,62,178 cm,71 kg,Left,2
Argentina,Damián Ledesma,Mar del Plata,5/21/1982,34,Sub,Sub,CB,63,186 cm,79 kg,Right,2
Argentina,Damián Lemos,Patronato,1/31/1989,28,LCM,LCM,CDM,70,178 cm,82 kg,Right,3
Argentina,Damián Martínez,Independiente,1/31/1990,27,Sub,Sub,RB,67,176 cm,77 kg,Right,3
Argentina,Damián Musto,Rosario Central,6/9/1987,29,CDM,CDM,CDM,73,182 cm,82 kg,Right,3
Argentina,Damián Pérez,Tijuana,12/22/1988,28,LB,LB,LB,74,168 cm,66 kg,Left,3
Argentina,Damián Schmidt,Puebla,12/7/1992,24,Sub,Sub,CB,63,183 cm,76 kg,Right,2
Argentina,Damían Albil,Independiente,12/9/1979,37,Sub,Sub,GK,65,182 cm,75 kg,Right,3
Argentina,Daniel Díaz,Getafe CF,7/13/1979,37,RCB,RCB,CB/RB,74,183 cm,77 kg,Right,3
Argentina,Daniel Garro,Junín,10/25/1990,26,Sub,Sub,LM,60,185 cm,79 kg,Left,2
Argentina,Daniel González,Temperley,1/26/1991,26,Sub,Sub,LM,65,179 cm,71 kg,Left,3
Argentina,Daniel Imperiale,G. La Plata,4/22/1988,28,Sub,Sub,CM/RM,67,190 cm,80 kg,Right,2
