Rating_Group,Rating,Name,Birth_Date,Age,Age_Group,Nationality,Club,Position,Contract_Expiry,Preferred_Position,Height,Weight,Preferred_Foot,Weak_foot
80-89,88,Antoine Griezmann,3/21/1991,26,Normal,France,Atlético Madrid,Attacker,2021.0,ST/LW,176 cm,67 kg,Left,3
80-89,88,Kevin De Bruyne,6/28/1991,25,Normal,Belgium,Manchester City,Midfielder,2021.0,CAM/RM/LM,181 cm,68 kg,Right,4
80-89,88,Marco Reus,5/31/1989,27,Normal,Germany,Bor. Dortmund,Attacker,2019.0,LM/CAM,182 cm,76 kg,Right,4
80-89,88,Alexis Sánchez,12/19/1988,28,Normal,Chile,Arsenal,Attacker,2018.0,ST/RM,169 cm,62 kg,Right,3
80-89,88,Toni Kroos,1/4/1990,27,Normal,Germany,Real Madrid,Midfielder,2022.0,CM/CDM,182 cm,78 kg,Right,5
80-89,88,Diego Godín,2/16/1986,31,Old,Uruguay,Atlético Madrid,Defender,2019.0,CB,185 cm,73 kg,Right,3
80-89,88,Mats Hummels,12/16/1988,28,Normal,Germany,FC Bayern,Defender,2021.0,CB,191 cm,92 kg,Right,3
80-89,88,Hugo Lloris,12/26/1986,30,Normal,France,Spurs,Goalkeeper,2022.0,GK,188 cm,82 kg,Left,1
80-89,88,Giorgio Chiellini,8/14/1984,32,Old,Italy,Juventus,Defender,2018.0,CB,187 cm,84 kg,Left,2
80-89,88,Philipp Lahm,11/11/1983,33,Old,Germany,FC Bayern,Defender,2018.0,RB/CM,170 cm,66 kg,Right,3
80-89,88,Pepe,2/26/1983,34,Old,Portugal,Real Madrid,Defender,2017.0,CB,188 cm,81 kg,Right,3
80-89,88,Petr Čech,5/20/1982,34,Old,Czech Republic,Arsenal,Goalkeeper,2019.0,GK,196 cm,90 kg,Left,3
80-89,88,Gianluigi Buffon,1/28/1978,39,Old,Italy,Juventus,Goalkeeper,2018.0,GK,192 cm,91 kg,Right,2
80-89,88,Iniesta,5/11/1984,32,Old,Spain,FC Barcelona,Midfielder,2018.0,CM,171 cm,68 kg,Right,4
80-89,87,Jan Oblak,1/7/1993,24,Youngster,Slovenia,Atlético Madrid,Goalkeeper,2021.0,GK,189 cm,87 kg,Right,3
80-89,87,James Rodríguez,7/12/1991,25,Normal,Colombia,Real Madrid,Midfielder,2020.0,CAM/RM,180 cm,75 kg,Left,3
80-89,87,Pierre-Emerick Aubameyang,6/18/1989,27,Normal,Gabon,Bor. Dortmund,Attacker,2020.0,ST/RM,187 cm,80 kg,Right,4
80-89,87,Leonardo Bonucci,5/1/1987,29,Normal,Italy,Juventus,Defender,2021.0,CB,190 cm,85 kg,Right,3
80-89,87,Arturo Vidal,5/22/1987,29,Normal,Chile,FC Bayern,Midfielder,2019.0,CM/CDM,180 cm,75 kg,Right,4
80-89,87,Ivan Rakitić,3/10/1988,29,Normal,Croatia,FC Barcelona,Midfielder,2021.0,CM,184 cm,78 kg,Right,3
80-89,87,David Silva,1/8/1986,31,Old,Spain,Manchester City,Midfielder,2019.0,CAM/LM,173 cm,67 kg,Left,2
80-89,87,Samir Handanovič,7/14/1984,32,Old,Slovenia,Inter,Goalkeeper,2019.0,GK,193 cm,89 kg,Right,2
80-89,87,Piqué,2/2/1987,30,Normal,Spain,FC Barcelona,Defender,2019.0,CB,193 cm,85 kg,Right,3
80-89,87,Arjen Robben,1/23/1984,33,Old,Netherlands,FC Bayern,Midfielder,2018.0,RM/RW,180 cm,80 kg,Left,2
80-89,86,Paulo Dybala,11/15/1993,23,Youngster,Argentina,Juventus,Midfielder,2020.0,ST/CAM,177 cm,74 kg,Left,3
80-89,86,Marco Verratti,11/5/1992,24,Youngster,Italy,PSG,Midfielder,2021.0,CM/CDM,165 cm,60 kg,Right,4
80-89,86,David Alaba,6/24/1992,24,Youngster,Austria,FC Bayern,Defender,2021.0,LB/CM,180 cm,76 kg,Left,4
80-89,86,Henrikh Mkhitaryan,1/21/1989,28,Normal,Armenia,Manchester Utd,Attacker,2020.0,RM/CAM,177 cm,75 kg,Right,5
80-89,86,Bernd Leno,3/4/1992,25,Normal,Germany,Bayer 04,Goalkeeper,2018.0,GK,190 cm,83 kg,Right,4
80-89,86,Thomas Müller,9/13/1989,27,Normal,Germany,FC Bayern,Midfielder,2021.0,CF/CAM/ST,186 cm,75 kg,Right,4
80-89,86,Sergio Busquets,7/16/1988,28,Normal,Spain,FC Barcelona,Midfielder,2021.0,CDM/CM,189 cm,76 kg,Right,3
80-89,86,Thiago,4/11/1991,25,Normal,Spain,FC Bayern,Midfielder,2019.0,CM/CDM/LM,174 cm,70 kg,Right,3
80-89,86,Jordi Alba,3/21/1989,28,Normal,Spain,FC Barcelona,Defender,2020.0,LB,170 cm,68 kg,Left,3
80-89,86,Coutinho,6/12/1992,24,Youngster,Brazil,Liverpool,Attacker,2022.0,LW/CAM,171 cm,68 kg,Right,4
80-89,86,Ángel Di María,2/14/1988,29,Normal,Argentina,PSG,Attacker,2019.0,RW/CAM,180 cm,75 kg,Left,2
80-89,86,Diego Costa,10/7/1988,28,Normal,Spain,Chelsea,Attacker,2019.0,ST,188 cm,85 kg,Right,4
80-89,86,Edinson Cavani,2/14/1987,30,Normal,Uruguay,PSG,Attacker,2018.0,ST,184 cm,71 kg,Right,3
80-89,86,Radja Nainggolan,5/4/1988,28,Normal,Belgium,Roma,Attacker,2020.0,CM/CAM,176 cm,65 kg,Right,3
80-89,86,Marcelo,5/12/1988,28,Normal,Brazil,Real Madrid,Defender,2020.0,LB,174 cm,75 kg,Left,4
80-89,86,Claudio Marchisio,1/19/1986,31,Old,Italy,Juventus,Midfielder,2020.0,CM/CDM,180 cm,75 kg,Right,4
80-89,86,Miranda,9/7/1984,32,Old,Brazil,Inter,Defender,2018.0,CB,186 cm,78 kg,Right,3
80-89,86,Karim Benzema,12/19/1987,29,Normal,France,Real Madrid,Attacker,2019.0,ST,187 cm,79 kg,Right,4
80-89,86,Cesc Fàbregas,5/4/1987,29,Normal,Spain,Chelsea,Midfielder,2019.0,CM/CAM,175 cm,74 kg,Right,3
80-89,86,Franck Ribéry,4/7/1983,33,Old,France,FC Bayern,Midfielder,2018.0,LM/LW,170 cm,72 kg,Right,4
80-89,86,Santi Cazorla,12/13/1984,32,Old,Spain,Arsenal,Midfielder,2018.0,CAM/CDM,168 cm,66 kg,Right,5
80-89,86,Andrea Barzagli,5/8/1981,35,Old,Italy,Juventus,Defender,2018.0,CB,187 cm,88 kg,Right,3
80-89,85,Harry Kane,7/28/1993,23,Youngster,England,Spurs,Attacker,2022.0,ST,188 cm,86 kg,Right,3
80-89,85,Alexandre Lacazette,5/28/1991,25,Normal,France,Olym. Lyonnais,Attacker,2019.0,ST,175 cm,73 kg,Right,4
80-89,85,Keylor Navas,12/15/1986,30,Normal,Costa Rica,Real Madrid,Goalkeeper,2020.0,GK,185 cm,78 kg,Right,3
80-89,85,Romelu Lukaku,5/13/1993,23,Youngster,Belgium,Everton,Attacker,2019.0,ST,190 cm,94 kg,Left,4
80-89,85,Christian Eriksen,2/14/1992,25,Normal,Denmark,Spurs,Midfielder,2018.0,CAM/LM,180 cm,76 kg,Right,5
80-89,85,İlkay Gündoğan,10/24/1990,26,Normal,Germany,Manchester City,Midfielder,2020.0,CM/CDM,180 cm,80 kg,Right,4
80-89,85,Toby Alderweireld,3/2/1989,28,Normal,Belgium,Spurs,Defender,2020.0,CB,187 cm,91 kg,Right,3
80-89,85,Willian,8/9/1988,28,Normal,Brazil,Chelsea,Midfielder,2020.0,RM/CAM,175 cm,75 kg,Right,4
80-89,85,Miralem Pjanić,4/2/1990,26,Normal,Bosnia Herzegovina,Juventus,Midfielder,2021.0,CM/CDM,180 cm,72 kg,Right,4
80-89,85,Juan Mata,4/28/1988,28,Normal,Spain,Manchester Utd,Midfielder,2018.0,CAM/CM,170 cm,63 kg,Left,3
80-89,85,Javi Martinez,9/2/1988,28,Normal,Spain,FC Bayern,Defender,2021.0,CB/CDM,190 cm,81 kg,Right,3
80-89,85,Dimitri Payet,3/29/1987,30,Normal,France,Olym. Marseille,Attacker,2021.0,LM/LW,175 cm,77 kg,Right,4
80-89,85,Dries Mertens,5/6/1987,29,Normal,Belgium,Napoli,Attacker,2018.0,LW/ST,169 cm,61 kg,Right,4
80-89,85,Sokratis,6/9/1988,28,Normal,Greece,Bor. Dortmund,Defender,2019.0,CB,186 cm,85 kg,Right,3
80-89,85,Marek Hamšik,7/27/1987,29,Normal,Slovakia,Napoli,Midfielder,2020.0,CM,183 cm,79 kg,Right,4
80-89,85,Blaise Matuidi,4/9/1987,29,Normal,France,PSG,Midfielder,2018.0,CDM/CM,175 cm,70 kg,Left,2
80-89,85,Stéphane Ruffier,9/27/1986,30,Normal,France,AS Saint-Étienne,Goalkeeper,2021.0,GK,188 cm,93 kg,Right,3
80-89,85,Laurent Koscielny,9/10/1985,31,Old,France,Arsenal,Defender,2020.0,CB,186 cm,75 kg,Right,3
80-89,85,Filipe Luís,8/9/1985,31,Old,Brazil,Atlético Madrid,Defender,2019.0,LB,182 cm,77 kg,Left,3
80-89,85,Vincent Kompany,4/10/1986,30,Normal,Belgium,Manchester City,Defender,2019.0,CB,193 cm,85 kg,Right,3
80-89,84,Aymeric Laporte,5/27/1994,22,Youngster,France,Athletic Bilbao,Defender,2020.0,CB,189 cm,85 kg,Left,2
80-89,84,Yannick Carrasco,9/4/1993,23,Youngster,Belgium,Atlético Madrid,Midfielder,2022.0,LM/LW,180 cm,66 kg,Right,4
80-89,84,Carvajal,1/11/1992,25,Normal,Spain,Real Madrid,Defender,2020.0,RB,173 cm,73 kg,Right,3
80-89,84,Riyad Mahrez,2/21/1991,26,Normal,Algeria,Leicester City,Midfielder,2020.0,RM/CAM,179 cm,62 kg,Left,4
80-89,84,Raphaël Varane,4/25/1993,23,Youngster,France,Real Madrid,Defender,2020.0,CB,191 cm,78 kg,Right,3
80-89,84,Mauro Icardi,2/19/1993,24,Youngster,Argentina,Inter,Attacker,2021.0,ST,181 cm,75 kg,Right,4
80-89,84,Lorenzo Insigne,6/4/1991,25,Normal,Italy,Napoli,Attacker,2019.0,LW,163 cm,59 kg,Right,3
80-89,84,Isco,4/21/1992,24,Youngster,Spain,Real Madrid,Midfielder,2018.0,CM/RM,176 cm,74 kg,Right,3
80-89,84,Koke,1/8/1992,25,Normal,Spain,Atlético Madrid,Midfielder,2019.0,CM/RM,178 cm,74 kg,Right,4
80-89,84,Kostas Manolas,6/14/1991,25,Normal,Greece,Roma,Defender,2019.0,CB,189 cm,83 kg,Right,2
80-89,84,Danijel Subašić,10/27/1984,32,Old,Croatia,AS Monaco,Goalkeeper,2019.0,GK,191 cm,84 kg,Right,2
80-89,84,Nicolás Otamendi,2/12/1988,29,Normal,Argentina,Manchester City,Defender,2020.0,CB,183 cm,81 kg,Right,3
80-89,84,Shkodran Mustafi,4/17/1992,24,Youngster,Germany,Arsenal,Defender,2021.0,CB,184 cm,82 kg,Right,3
80-89,84,Nemanja Matić,8/1/1988,28,Normal,Serbia,Chelsea,Midfielder,2019.0,CDM/CM,194 cm,84 kg,Left,3
80-89,84,Alex Sandro,1/26/1991,26,Normal,Brazil,Juventus,Defender,2020.0,LB/LM,181 cm,76 kg,Left,3
80-89,84,Kamil Glik,2/3/1988,29,Normal,Poland,AS Monaco,Defender,2020.0,CB,190 cm,80 kg,Right,2
80-89,84,Douglas Costa,9/14/1990,26,Normal,Brazil,FC Bayern,Midfielder,2020.0,LM/CAM,170 cm,65 kg,Left,3
80-89,84,Kevin Strootman,2/13/1990,27,Normal,Netherlands,Roma,Midfielder,2018.0,CM/CDM,186 cm,78 kg,Left,3
80-89,84,Nicolás Gaitán,2/23/1988,29,Normal,Argentina,Atlético Madrid,Midfielder,2020.0,LM,173 cm,68 kg,Left,2
80-89,84,Bruno,6/12/1984,32,Old,Spain,Villarreal CF,Midfielder,2020.0,CM,184 cm,73 kg,Left,3
80-89,84,Ivan Perišić,2/2/1989,28,Normal,Croatia,Inter,Midfielder,2020.0,LM/CAM,186 cm,81 kg,Right,5
80-89,84,David Luiz,4/22/1987,29,Normal,Brazil,Chelsea,Defender,2019.0,CB,189 cm,84 kg,Right,3
80-89,84,Sami Khedira,4/4/1987,29,Normal,Germany,Juventus,Midfielder,2019.0,CM/CDM,189 cm,93 kg,Right,4
80-89,84,Benedikt Höwedes,2/29/1988,29,Normal,Germany,FC Schalke 04,Defender,2020.0,CB/RB,187 cm,82 kg,Right,3
80-89,84,Ralf Fährmann,9/27/1988,28,Normal,Germany,FC Schalke 04,Goalkeeper,2020.0,GK,196 cm,95 kg,Right,2
80-89,84,Sergio Asenjo,6/28/1989,27,Normal,Spain,Villarreal CF,Goalkeeper,2022.0,GK,189 cm,87 kg,Right,3
80-89,84,Éver Banega,6/29/1988,28,Normal,Argentina,Inter,Midfielder,2020.0,CAM,174 cm,71 kg,Right,4
80-89,84,Medhi Benatia,4/17/1987,29,Normal,Morocco,Juventus,Defender,2019.0,CB,190 cm,96 kg,Right,3
80-89,84,Steve Mandanda,3/28/1985,32,Old,France,Crystal Palace,Goalkeeper,2019.0,GK,185 cm,82 kg,Right,3
80-89,84,Dani Alves,5/6/1983,33,Old,Brazil,Juventus,Defender,2018.0,RB,172 cm,68 kg,Right,3
80-89,84,Arda Turan,1/30/1987,30,Normal,Turkey,FC Barcelona,Midfielder,2020.0,CM/LW,177 cm,76 kg,Right,4
80-89,84,Javier Mascherano,6/8/1984,32,Old,Argentina,FC Barcelona,Midfielder,2019.0,CB/CDM,174 cm,73 kg,Right,3
80-89,84,Aduriz,2/11/1981,36,Old,Spain,Athletic Bilbao,Attacker,2017.0,ST,182 cm,78 kg,Right,3
80-89,84,Yaya Touré,5/13/1983,33,Old,Ivory Coast,Manchester City,Midfielder,2017.0,CM/CDM,189 cm,90 kg,Right,4
80-89,83,Eric Bailly,4/12/1994,22,Youngster,Ivory Coast,Manchester Utd,Defender,2020.0,CB,187 cm,77 kg,Right,3
80-89,83,José María Giménez,1/20/1995,22,Youngster,Uruguay,Atlético Madrid,Defender,2018.0,CB,185 cm,80 kg,Right,3
80-89,83,N'Golo Kanté,3/29/1991,26,Normal,France,Chelsea,Midfielder,2021.0,CM/CDM,168 cm,68 kg,Right,3
80-89,83,Gerónimo Rulli,5/20/1992,24,Youngster,Argentina,Real Sociedad,Goalkeeper,2022.0,GK,189 cm,80 kg,Right,3
80-89,83,João Mário,1/19/1993,24,Youngster,Portugal,Inter,Midfielder,2021.0,CM/CAM,179 cm,73 kg,Right,4
80-89,83,André Gomes,7/30/1993,23,Youngster,Portugal,FC Barcelona,Midfielder,2021.0,CM/CAM,188 cm,84 kg,Right,4
80-89,83,Marquinhos,5/14/1994,22,Youngster,Brazil,PSG,Defender,2019.0,CB/RB,183 cm,75 kg,Right,3
80-89,83,Carlos Bacca,9/8/1986,30,Normal,Colombia,Milan,Attacker,2020.0,ST,181 cm,77 kg,Right,2
80-89,83,William Carvalho,4/7/1992,24,Youngster,Portugal,Sporting CP,Midfielder,2020.0,CDM,187 cm,83 kg,Right,4
80-89,83,Karim Bellarabi,4/8/1990,26,Normal,Germany,Bayer 04,Midfielder,2021.0,RM,183 cm,80 kg,Right,3
80-89,83,Raheem Sterling,12/8/1994,22,Youngster,England,Manchester City,Attacker,2020.0,RM/RW,170 cm,69 kg,Right,2
80-89,83,Julian Draxler,9/20/1993,23,Youngster,Germany,PSG,Attacker,2021.0,CAM/LW,187 cm,72 kg,Right,5
80-89,83,Roberto Firmino,10/2/1991,25,Normal,Brazil,Liverpool,Attacker,2020.0,ST/CAM,181 cm,76 kg,Right,4
80-89,83,Marcos Rojo,3/20/1990,27,Normal,Argentina,Manchester Utd,Defender,2019.0,CB/LB,187 cm,80 kg,Left,2
80-89,83,Kalidou Koulibaly,6/20/1991,25,Normal,Senegal,Napoli,Defender,2019.0,CB,195 cm,89 kg,Right,2
80-89,83,Danilo Pereira,9/9/1991,25,Normal,Portugal,FC Porto,Midfielder,2022.0,CDM,188 cm,83 kg,Right,3
80-89,83,Timo Horn,5/12/1993,23,Youngster,Germany,1. FC Köln,Goalkeeper,2019.0,GK,192 cm,90 kg,Left,4
80-89,83,Casemiro,2/23/1992,25,Normal,Brazil,Real Madrid,Midfielder,2021.0,CDM,184 cm,80 kg,Right,3
80-89,83,Vitolo,11/2/1989,27,Normal,Spain,Sevilla FC,Midfielder,2020.0,LM/RM,184 cm,79 kg,Right,4
80-89,83,Anthony Lopes,10/1/1990,26,Normal,Portugal,Olym. Lyonnais,Goalkeeper,2020.0,GK,184 cm,81 kg,Left,2
80-89,83,Mattia Perin,11/10/1992,24,Youngster,Italy,Genoa,Goalkeeper,2019.0,GK,188 cm,74 kg,Right,3
80-89,83,Joel Matip,8/8/1991,25,Normal,Cameroon,Liverpool,Defender,2020.0,CB,195 cm,90 kg,Right,2
80-89,83,Juan Cuadrado,5/26/1988,28,Normal,Colombia,Juventus,Midfielder,2019.0,RM/CAM,179 cm,71 kg,Right,3
80-89,83,Iago Aspas,8/1/1987,29,Normal,Spain,Celta Vigo,Attacker,2020.0,ST/RW,176 cm,67 kg,Left,3
80-89,83,Marc-André ter Stegen,4/30/1992,24,Youngster,Germany,FC Barcelona,Goalkeeper,2019.0,GK,187 cm,85 kg,Right,4
80-89,82,Mario Götze,6/3/1992,24,Youngster,Germany,Bor. Dortmund,Midfielder,2020.0,CM/CAM,176 cm,75 kg,Right,4
80-89,83,Ander Herrera,8/14/1989,27,Normal,Spain,Manchester Utd,Midfielder,2018.0,CM/CDM,182 cm,73 kg,Right,4
80-89,83,Javier Pastore,6/20/1989,27,Normal,Argentina,PSG,Midfielder,2019.0,CM/RW,187 cm,78 kg,Right,4
80-89,83,Chris Smalling,11/22/1989,27,Normal,England,Manchester Utd,Defender,2019.0,CB,193 cm,90 kg,Right,3
80-89,83,Pedro,7/28/1987,29,Normal,Spain,Chelsea,Attacker,2019.0,RW/LW,167 cm,62 kg,Right,5
80-89,83,Giacomo Bonaventura,8/22/1989,27,Normal,Italy,Milan,Midfielder,2019.0,CM/LM,181 cm,75 kg,Right,3
80-89,83,Roman Bürki,11/14/1990,26,Normal,Switzerland,Bor. Dortmund,Goalkeeper,2019.0,GK,187 cm,85 kg,Right,2
80-89,83,Oscar,9/9/1991,25,Normal,Brazil,Free Agents,Midfielder,2020.0,CAM/LM,179 cm,67 kg,Right,3
80-89,83,Steven N'Zonzi,12/15/1988,28,Normal,France,Sevilla FC,Midfielder,2020.0,CDM/CM,190 cm,75 kg,Right,3
80-89,83,Aaron Ramsey,12/26/1990,26,Normal,Wales,Arsenal,Midfielder,2018.0,CM/RM,183 cm,76 kg,Right,3
80-89,83,Mateo Musacchio,8/26/1990,26,Normal,Argentina,Villarreal CF,Defender,2018.0,CB,182 cm,75 kg,Right,3
80-89,83,Ömer Toprak,7/21/1989,27,Normal,Turkey,Bayer 04,Defender,2018.0,CB,187 cm,83 kg,Right,5
80-89,83,José Callejón,2/11/1987,30,Normal,Spain,Napoli,Attacker,2020.0,RW,178 cm,73 kg,Right,2
80-89,83,Adrien Silva,3/15/1989,28,Normal,Portugal,Sporting CP,Midfielder,2020.0,CM,175 cm,69 kg,Right,4
80-89,83,Azpilicueta,8/28/1989,27,Normal,Spain,Chelsea,Defender,2020.0,CB/LB,178 cm,75 kg,Right,3
80-89,83,Sebastian Giovinco,1/26/1987,30,Normal,Italy,Toronto FC,Attacker,2019.0,CF/ST,164 cm,59 kg,Right,4
80-89,83,Anthony Modeste,4/14/1988,28,Normal,France,1. FC Köln,Attacker,2021.0,ST,187 cm,84 kg,Right,3
80-89,83,Mario Mandžukić,5/21/1986,30,Normal,Croatia,Juventus,Midfielder,2019.0,ST/LM,190 cm,86 kg,Right,3
80-89,83,Adam Lallana,5/10/1988,28,Normal,England,Liverpool,Midfielder,2021.0,CM,172 cm,73 kg,Right,5
80-89,83,Olivier Giroud,9/30/1986,30,Normal,France,Arsenal,Attacker,2020.0,ST,192 cm,88 kg,Left,3
80-89,83,Rui Patrício,2/15/1988,29,Normal,Portugal,Sporting CP,Goalkeeper,2022.0,GK,190 cm,84 kg,Left,2
80-89,83,Yann Sommer,12/17/1988,28,Normal,Switzerland,Bor. M'gladbach,Goalkeeper,2019.0,GK,183 cm,79 kg,Right,4
80-89,83,Jonas,4/1/1984,32,Old,Brazil,SL Benfica,Attacker,2019.0,ST,181 cm,75 kg,Right,5
80-89,83,Kévin Gameiro,5/9/1987,29,Normal,France,Atlético Madrid,Attacker,2020.0,ST,173 cm,70 kg,Right,3
80-89,83,Claudio Bravo,4/13/1983,33,Old,Chile,Manchester City,Goalkeeper,2020.0,GK,184 cm,80 kg,Right,3
80-89,83,Łukasz Piszczek,6/3/1985,31,Old,Poland,Bor. Dortmund,Defender,2018.0,RB/CB,184 cm,78 kg,Right,3
80-89,83,Jan Vertonghen,4/24/1987,29,Normal,Belgium,Spurs,Defender,2019.0,CB,189 cm,88 kg,Left,3
80-89,83,Asmir Begović,6/20/1987,29,Normal,Bosnia Herzegovina,Chelsea,Goalkeeper,2019.0,GK,200 cm,83 kg,Right,2
80-89,83,Naldo,9/10/1982,34,Old,Brazil,FC Schalke 04,Defender,2018.0,CB,198 cm,91 kg,Right,4
80-89,83,Daniel Sturridge,9/1/1989,27,Normal,England,Liverpool,Attacker,2019.0,ST/RW,180 cm,76 kg,Left,2
80-89,83,José Fonte,12/22/1983,33,Old,Portugal,West Ham,Defender,2019.0,CB,187 cm,81 kg,Right,3
80-89,83,Ezequiel Garay,10/10/1986,30,Normal,Argentina,Valencia CF,Defender,2020.0,CB,188 cm,77 kg,Right,3
80-89,83,Samir Nasri,6/26/1987,29,Normal,France,Sevilla FC,Midfielder,2019.0,LM/CM/CAM,175 cm,75 kg,Right,5
80-89,83,Gary Cahill,12/19/1985,31,Old,England,Chelsea,Defender,2019.0,CB,193 cm,86 kg,Right,3
80-89,83,Ashley Williams,8/23/1984,32,Old,Wales,Everton,Defender,2019.0,CB,182 cm,91 kg,Right,4
80-89,83,Leighton Baines,12/11/1984,32,Old,England,Everton,Defender,2019.0,LB,170 cm,70 kg,Left,3
80-89,83,Kasper Schmeichel,11/5/1986,30,Normal,Denmark,Leicester City,Goalkeeper,2021.0,GK,185 cm,76 kg,Right,3
80-89,83,Borja Valero,1/12/1985,32,Old,Spain,Fiorentina,Attacker,2019.0,CAM/CF,175 cm,73 kg,Right,4
80-89,83,Hatem Ben Arfa,3/7/1987,30,Normal,France,PSG,Midfielder,2018.0,CAM/ST,178 cm,74 kg,Left,4
80-89,83,Joe Hart,4/19/1987,29,Normal,England,Torino,Goalkeeper,2019.0,GK,196 cm,91 kg,Right,3
80-89,83,Juanfran,1/9/1985,32,Old,Spain,Atlético Madrid,Defender,2018.0,RB,180 cm,72 kg,Right,3
80-89,83,Wesley Sneijder,6/9/1984,32,Old,Netherlands,Galatasaray,Midfielder,2018.0,CAM,170 cm,72 kg,Right,5
80-89,83,Nani,11/17/1986,30,Normal,Portugal,Valencia CF,Attacker,2019.0,LW/CAM/LM,175 cm,66 kg,Right,4
80-89,83,Stephan Lichtsteiner,1/16/1984,33,Old,Switzerland,Juventus,Defender,2018.0,RB/RM,182 cm,74 kg,Right,3
80-89,83,Wayne Rooney,10/24/1985,31,Old,England,Manchester Utd,Midfielder,2019.0,CAM/CM,176 cm,83 kg,Right,4
80-89,83,Daniele De Rossi,7/24/1983,33,Old,Italy,Roma,Midfielder,2017.0,CDM,184 cm,83 kg,Right,4
80-89,83,José Reina,8/31/1982,34,Old,Spain,Napoli,Goalkeeper,2018.0,GK,188 cm,92 kg,Right,3
80-89,83,Quaresma,9/26/1983,33,Old,Portugal,Beşiktaş,Midfielder,2020.0,RM/LM,175 cm,67 kg,Right,4
80-89,82,Marco Asensio,1/21/1996,21,Youngster,Spain,Real Madrid,Midfielder,2021.0,CAM/LM/LW,178 cm,70 kg,Left,3
80-89,83,Bernardo Silva,8/10/1994,22,Youngster,Portugal,AS Monaco,Midfielder,2020.0,RM/CAM,173 cm,64 kg,Left,3
80-89,82,Islam Slimani,6/18/1988,28,Normal,Algeria,Leicester City,Attacker,2021.0,ST,188 cm,79 kg,Right,3
80-89,82,Jonathan Tah,2/11/1996,21,Youngster,Germany,Bayer 04,Defender,2020.0,CB,194 cm,98 kg,Right,4
80-89,82,Anthony Martial,12/5/1995,21,Youngster,France,Manchester Utd,Attacker,2019.0,LM/ST,184 cm,76 kg,Right,4
80-89,82,Dele Alli,4/11/1996,20,Youngster,England,Spurs,Attacker,2022.0,CAM/LM,188 cm,80 kg,Right,3
80-89,82,Ederson,8/17/1993,23,Youngster,Brazil,SL Benfica,Goalkeeper,2023.0,GK,188 cm,83 kg,Left,2
80-89,82,Mohamed Salah,6/15/1992,24,Youngster,Egypt,Roma,Attacker,2019.0,RW,175 cm,72 kg,Left,2
80-89,82,Sadio Mané,4/10/1992,24,Youngster,Senegal,Liverpool,Attacker,2020.0,RW,175 cm,75 kg,Right,3
